Category,Thumbnail,Title,Description,Brand,Stars,Reviews,Price,URL
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/71SStjOCNcL._AC_UL600_SR600,400_.jpg","Hanes EcoSmart Hoodie, Midweight Fleece, Pullover Hooded Sweatshirt for Men","Add comfort and warmth to your casual wardrobe with a Hanes EcoSmart® men's hoodie. Super soft and cozy, this hooded pullover is made with cotton sourced from American farms for a feel-good finish. Crafted with the Hanes quality you expect, it's made to hold its shape thanks to double-needle stitchi",Hanes Store,4.5,161189,$8.73,https://www.amazon.com/Hanes-Pullover-EcoSmart-Fleece-Hoodie/dp/B00JUM3G6E/ref=zg_bs_g_7147441011_d_sccl_1/140-8786223-6172500?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/81D+bCgn8hL._AC_UL600_SR600,400_.jpg","Hanes Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack","Hanes® EcoSmart® men's fleece sweatshirt is sure to become your new go-to wardrobe staple. Soft and plush, this cozy pullover sweatshirt is made from a midweight blend featuring cotton sourced from American farms. A classic crewneck style, this pullover is sturdy and made to keep its plush comfort f",Hanes Store,4.6,120159,$8.39,https://www.amazon.com/Hanes-EcoSmart-Fleece-Sweatshirt-Stonewashed/dp/B072QRN7HR/ref=zg_bs_g_7147441011_d_sccl_2/140-8786223-6172500?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/71QyRZzbaUL._AC_UL600_SR600,400_.jpg","Hanes, Ecosmart Fleece Full-zip Hoodie for Men, Hooded Sweatshirt","Hanes® EcoSmart® fleece is your new go-to wardrobe staple. Soft and plush, this cozy zip-up fleece hoodie is made of a midweight cotton/poly fleece blend that features cotton sourced from American farms. The fleece in this classic zip-front hooded jacket is incredibly soft, thick, and made to keep i",Hanes Store,4.5,82523,.,https://www.amazon.com/Hanes-Full-zip-Eco-smart-athletic-sweatshirts/dp/B00JUM4CT4/ref=zg_bs_g_7147441011_d_sccl_4/140-8786223-6172500?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/71KX+SabYML._AC_UL600_SR600,400_.jpg",Amazon Essentials Men's Fleece Open Bottom Sweatpant (Available in Big & Tall),"An Amazon Brand - A relaxed straight leg and elastic, drawstring waistband bring lounge-ready style to this classic casual pant",Amazon Essentials Store,4.4,56217,$12.90,https://www.amazon.com/Amazon-Essentials-Fleece-Sweatpants-Black/dp/B075JW7CCH/ref=zg_bs_g_7147441011_d_sccl_3/140-8786223-6172500?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/710ODtLdIJL._AC_UL600_SR600,400_.jpg","Gildan unisex-adult Fleece Crewneck Sweatshirt, Style G18000, Multipack","When soft comfort is what you seek, the Gildan Adult Fleece Crewneck Sweatshirt is what you need. Made from a 50% U.S. Cotton/50% Polyester blend, this warm 8.0 oz sq/yd classic fit style looks great and makes a great canvas for decorating. Available in 18 colors in SM - 3XL.",Gildan Store,4.6,46850,$13.46,https://www.amazon.com/Gildan-Heavy-Blend-Crewneck-Sweatshirt/dp/B01M1MFI11/ref=zg_bs_g_7147441011_d_sccl_5/140-8786223-6172500?psc=1
