Category,Thumbnail,Title,Description,Brand,Stars,Reviews,Price,URL
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71R8vXbi1zL._AC_UL600_SR600,400_.jpg",IDEGG No Show Socks Women & Men Low Cut Ankle Short Athletic Running Casual Invisible Liner Socks,"This item has been tested to certify it can ship safely in its original box or bag to avoid unnecessary packaging. Since 2015, we have reduced the weight of outbound packaging per shipment by 41% on average, that’s over 2 million tons of packaging material.",IDEGG Store,4.7,64276,$14.99,https://www.amazon.com/IDEGG-Socks-Cotton-Anti-slid-Athletic/dp/B07V4VFKKD/ref=zg_bs_g_7147440011_d_sccl_21/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71Biyy-urSL._AC_UL300_SR300,200_.jpg","WallFlower Luscious Curvy Bootcut Jeans for Women, Mid-Rise Insta Stretch Denim, Size-Inclusive Juniors Jeans, Sizes 0 to 24",N/A,N/A,4.4,61336,$32.00,https://www.amazon.com/WallFlower-Juniors-Instastretch-Luscious-Bootcut/dp/B07316V3KX/ref=zg_bs_g_7147440011_d_sccl_81/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61e5aE3kxZL._AC_UL600_SR600,400_.jpg",Charmnight Womens High Waist Tights Fishnet Stockings Thigh High Pantyhose,"Global Recycled Standard (GRS) certified products contain recycled content that has been independently verified at each stage of the supply chain, from the source to the final product and meet social, environmental, and chemical requirements. The purchase of Global Recycled Standard (GRS) certified ",Charmnight,4.6,56920,$5.49,https://www.amazon.com/Charmnight-Fishnet-Stockings-Pantyhose-Black-g5/dp/B07NV4JGTG/ref=zg_bs_g_7147440011_d_sccl_6/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61cVscGZZaL._AC_UL300_SR300,200_.jpg",Amazon Essentials Women's Fleece Jogger Sweatpant (Available in Plus Size),"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of women's apparel includes cashmere sweaters, fleece and down jackets, and more, including plus-size options. Our consistent sizing takes the guesswork out of shopping, an",Amazon Essentials Store,4.3,44697,$11.51,https://www.amazon.com/Amazon-Essentials-Womens-French-Sweatpant/dp/B07BJ8F5VP/ref=zg_bs_g_7147440011_d_sccl_29/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61NtjDHSA-L._AC_UL600_SR600,400_.jpg",SHAPERX Women's Shapewear Bodysuit Tummy Control Body Shaper Seamless Sculpting Snatched Waist Body Suit,"Customer Reviews, including Product Star Ratings help customers to learn more about the product and decide whether it is the right product for them.",SHAPERX Store,4.1,44615,$38.99,https://www.amazon.com/SHAPERX-Bodysuit-Shapewear-Sculpting-SZ5215-Black-S/dp/B0B1HR89H4/ref=zg_bs_g_7147440011_d_sccl_19/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71CUmyhYe2L._AC_UL300_SR300,200_.jpg",FITRELL 3 Pairs Compression Socks for Women and Men 20-30mmHg-Circulation Support Socks,N/A,N/A,4.5,34418,$14.99,https://www.amazon.com/Compression-20-30mmHg-Support-Running-Medical/dp/B07VWT4XRG/ref=zg_bs_g_7147440011_d_sccl_85/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/611K4N-ACvL._AC_UL600_SR600,400_.jpg",Amazon Essentials Womens Regular-Fit Long-Sleeve Crewneck T-Shirt (Available in Plus Size),"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting―at affordable prices for the whole family.",Amazon Essentials Store,4.3,29938,$12.40,https://www.amazon.com/Amazon-Essentials-Womens-Long-Sleeve-T-Shirt/dp/B079PL1L5G/ref=zg_bs_g_7147440011_d_sccl_4/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/51uFCTdqpwL._AC_UL600_SR600,400_.jpg",High Waisted Leggings for Women - No See Through Tummy Control Cycling Workout Yoga Pants with Pockets Reg & Plus,"Customer Reviews, including Product Star Ratings help customers to learn more about the product and decide whether it is the right product for them.",TNNZEET Store,4.2,28368,$6.39,https://www.amazon.com/TNNZEET-Waisted-Printed-Leggings-Women/dp/B0891SVRD6/ref=zg_bs_g_7147440011_d_sccl_10/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/612gGYUB+gL._AC_UL600_SR600,400_.jpg",Lee Women's Ultra Lux Comfort with Flex Motion Trouser Pant,"Just like our founder,  H.D. Lee, our passion is helping can-do people do more. We are committed to designing clothing that conforms to your body, allowing you to move through life freely. We help you chase the things that bring you joy and laughter. The things that make you fearless and hopefully b",Lee Store,4.2,25831,$22.10,https://www.amazon.com/LEE-Womens-Motion-Regular-Trouser/dp/B07R54FM5W/ref=zg_bs_g_7147440011_d_sccl_22/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71qQHk-z-bL._AC_UL300_SR300,200_.jpg",Lee Women's Wrinkle Free Relaxed Fit Straight Leg Pant,N/A,N/A,4.2,24829,$18.20,https://www.amazon.com/LEE-Womens-Wrinkle-Relaxed-Straight/dp/B07R43WV7P/ref=zg_bs_g_7147440011_d_sccl_84/142-4859137-9579169?psc=1
